,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,796 MT","7,191 MT","6,554 MT","7,193 MT","6,814 MT","8,844 MT","8,311 MT","8,464 MT","7,772 MT","7,210 MT","7,029 MT","7,020 MT","20,542 MT","22,852 MT","24,547 MT","21,259 MT","89,200 MT",,
,,,,,,,,,, <<<---Added--->>> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019, Forecast Quantity board MT - OCT 2018 , Forecast Quantity board MT - NOV 2018 , Forecast Quantity board MT - DEC 2018 , Forecast Quantity board MT - JAN 2019 , Forecast Quantity board MT - FEB 2019 , Forecast Quantity board MT - MAR 2019 , Forecast Quantity board MT - APR 2019 , Forecast Quantity board MT - MAY 2019 , Forecast Quantity board MT - JUN 2019 , Forecast Quantity board MT - JUL 2019 , Forecast Quantity board MT - AUG 2019 , Forecast Quantity board MT - SEP 2019 , Forecast Quantity board MT - Q1 2019 , Forecast Quantity board MT - Q2 2019 , Forecast Quantity board MT - Q3 2019 , Forecast Quantity board MT - Q4 2019 , Forecast Quantity board MT - FY 2019 , Average ,Standarddeviation
478," WestRockPackaging Syst.ES,S.L. ", SCHREIBER GROUP , SCHREIBER FOODS PORTUGAL SA , Portugal , CC ,  2x4 ,180, M088KBA-Q/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3501660,Std Sku,3501660,Yes,350,18,1660,1660,166,65.35,78.8,31.02,N,107.2,16,,Bilbao,1.1 MT,1.1 MT,1.0 MT,1.1 MT,1.1 MT,1.4 MT,1.3 MT,1.3 MT,1.2 MT,1.1 MT,1.1 MT,1.1 MT,3.2 MT,3.6 MT,3.9 MT,3.3 MT,14.1 MT,1.2 MT,0.1 MT
511, MeadWestvaco Enterprises GmbH , FRATELLI POLLI SPA-EUR , FRATELLI POLLI - FATTURAZIONE , Italy , CP , 1x3 ,314, MPC130341/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3201357,Std Sku,3201357,Yes,320,16,1357,1357,135.7,53.43,134.2,52.83,N,83.3,12,,Svitavy,0.2 MT,0.3 MT,0.2 MT,0.3 MT,0.2 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.2 MT,0.2 MT,0.7 MT,0.8 MT,0.9 MT,0.8 MT,3.2 MT,0.3 MT,0.0 MT
533, MeadWestvaco Enterprises GmbH , CAVIT CANTINA , CAVIT CANTINA VITICOLTORI SOC.COOP , Italy , CP ,  2x2 ,200, MPC042164/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3501365,Fastrunner,3501320,No,350,18,1365,1320,132,51.97,132,51.97,Y,95.8,24,,Svitavy,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.4 MT,0.4 MT,0.4 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.9 MT,1.0 MT,1.1 MT,0.9 MT,3.9 MT,0.3 MT,0.0 MT
739, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , S.C. Quadrant Amroq Beverages SRL , Romania , CP , 2x2 ,250, PL1506029/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109,18,,Svitavy,0.3 MT,0.3 MT,0.2 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.8 MT,0.8 MT,0.9 MT,0.8 MT,3.3 MT,0.3 MT,0.0 MT
740, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , S.C. Quadrant Amroq Beverages SRL , Romania , CP , 2x3 ,250, P1504052B/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109,12,,Svitavy,1.0 MT,1.1 MT,1.0 MT,1.1 MT,1.0 MT,1.3 MT,1.2 MT,1.2 MT,1.1 MT,1.1 MT,1.0 MT,1.0 MT,3.0 MT,3.4 MT,3.6 MT,3.1 MT,13.1 MT,1.1 MT,0.1 MT
758, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x2 ,330, PL1609290_B/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101,39.76,97.2,38.27,N,68.2,8,,Svitavy,0.1 MT,0.2 MT,0.1 MT,0.2 MT,0.1 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.1 MT,0.1 MT,0.4 MT,0.5 MT,0.5 MT,0.4 MT,1.9 MT,0.2 MT,0.0 MT
759, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x2 ,330, P1708030B/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101,39.76,98.2,38.66,N,133.7,16,,Svitavy,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.1 MT,0.1 MT,0.1 MT,0.4 MT,0.5 MT,0.5 MT,0.4 MT,1.8 MT,0.2 MT,0.0 MT
760, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x3 ,330, P1708031A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101,39.76,98.2,38.66,N,133.7,16,,Svitavy,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.0 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.4 MT,0.0 MT,0.0 MT
778, WestRock Czech , Valio Eesti AG , Valio Eesti AG/Tallinn/EE , Estonia , CP ,,, PL1609295_A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3200873,Std Sku,3200873,Yes,320,16,873,873,87.3,34.37,87.1,34.29,N,116.4,30,,Svitavy,0.4 MT,0.5 MT,0.4 MT,0.5 MT,0.4 MT,0.6 MT,0.5 MT,0.5 MT,0.5 MT,0.5 MT,0.4 MT,0.4 MT,1.3 MT,1.5 MT,1.6 MT,1.4 MT,5.7 MT,0.5 MT,0.0 MT
788, MeadWestvaco Enterprises GmbH , MŸnchener Hofbr_u , MŸnchener Hofbr_u , Germany , BM ,  2x3 ,355, 4687C/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3200964,Std Sku,3200964,Yes,320,16,964,964,96.4,37.95,96.4,37.95,Y,109,4,,Svitavy,4.2 MT,4.4 MT,4.1 MT,4.4 MT,4.2 MT,5.5 MT,5.1 MT,5.2 MT,4.8 MT,4.5 MT,4.3 MT,4.3 MT,12.7 MT,14.1 MT,15.2 MT,13.1 MT,55.2 MT,4.6 MT,0.5 MT
854, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania , CP ,,, PL1609306_A /R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4650960,Std Sku,4650960,Yes,465,25,960,960,96,37.8,94.5,37.2,N,106.5,10,,Svitavy,0.6 MT,0.6 MT,0.5 MT,0.6 MT,0.6 MT,0.7 MT,0.7 MT,0.7 MT,0.7 MT,0.6 MT,0.6 MT,0.6 MT,1.7 MT,1.9 MT,2.1 MT,1.8 MT,7.5 MT,0.6 MT,0.1 MT
855, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania , CP ,,, PL1609306_A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4650960,Std Sku,4650960,Yes,465,25,960,960,96,37.8,94.5,37.2,N,106.5,10,,Svitavy,3.6 MT,3.8 MT,3.5 MT,3.8 MT,3.6 MT,4.7 MT,4.4 MT,4.5 MT,4.1 MT,3.8 MT,3.7 MT,3.7 MT,10.9 MT,12.1 MT,13.0 MT,11.3 MT,47.3 MT,3.9 MT,0.4 MT
870," WestRockPackaging Syst.UK,LTD ", Molson Coors EUR , MOLSON COORS BREWING , United Kingdom        , CP ,  2x2 ,330, B13B022A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100,39.37,100,39.37,Y,68.5,8,,Bristol,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.2 MT,0.2 MT,0.2 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.4 MT,0.4 MT,0.5 MT,0.4 MT,1.7 MT,0.1 MT,0.0 MT
872," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , TENNENT CALEDONIAN BREWERIES , United Kingdom        , CP ,  2x5 ,250, B13B065A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3800935,Std Sku,3800935,Yes,380,20,935,935,93.5,36.81,93.5,36.81,Y,102,6,,Bristol,1.2 MT,1.3 MT,1.2 MT,1.3 MT,1.2 MT,1.6 MT,1.5 MT,1.5 MT,1.4 MT,1.3 MT,1.2 MT,1.2 MT,3.6 MT,4.1 MT,4.4 MT,3.8 MT,15.8 MT,1.3 MT,0.1 MT
873," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , TENNENT CALEDONIAN BREWERIES , United Kingdom        , CP ,  2x4 ,250, B13B066A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100,39.37,100,39.37,Y,102,8,,Bristol,1.6 MT,1.7 MT,1.5 MT,1.7 MT,1.6 MT,2.1 MT,1.9 MT,2.0 MT,1.8 MT,1.7 MT,1.6 MT,1.6 MT,4.8 MT,5.3 MT,5.7 MT,5.0 MT,20.8 MT,1.7 MT,0.2 MT
